S,I,R
448.3846189266147,40.91991040635329,10.695470667032142
446.51954421869186,42.36816342359565,11.1122923577126
444.59681616906846,43.85935840723362,11.543825423697992
442.61532998093014,45.39416691375956,11.990503105310392
440.5740088164324,46.97322598538664,12.452765198181108
438.4718076760456,48.597134644523656,12.931057679430904
436.3077182567874,50.26644942798573,13.425832315227046
434.0807734829303,51.98168030408723,13.937546212982632
431.79005202993085,53.74328663261968,14.466661337449661
429.4346827854062,55.55167322745023,15.01364398714372
427.0138505593206,57.40718523074579,15.57896420993378
424.52680107526504,59.310103740263166,16.16309518447199
421.9728457069278,61.26064171624123,16.766512576831143
419.3513665307022,63.25893962847197,17.38969384082599
416.66182244361363,65.30506012792512,18.033117428461427
413.9037543362607,67.39898366959693,18.697261994142444
411.07678977511773,69.54060463296653,19.38260559191586
408.180648268906,71.72972694496909,20.089624786125015
405.2151468734094,73.9660594367691,20.818793689821582
402.18020509502713,76.24921189337933,21.570583011593687
399.07584988671647,78.57869106548924,22.345459047794424
395.9022204804206,80.95389691448698,23.143882605092543
392.65957281586253,83.37411925618433,23.966307927953263
389.34828317151266,85.83853519286261,24.81318163562483
385.9688528075486,88.34620569425114,25.68494149820036
382.5219113525237,90.89607336903791,26.58201527843844
379.0082198084705,93.48696059146121,27.50481960006834
375.42867345530925,96.11756787344619,28.453758671244625
371.78430412205176,98.78647282156328,29.42922305638504
368.0762818050777,101.49212969682515,30.431588498097213
364.3059159401986,104.23286942016526,31.461214639636253
360.47465602546293,107.00690020621643,32.518443768320694
356.5840916613758,109.81230868354695,33.603599655077346
352.6359518707101,112.64706179592359,34.71698633336639
348.63210368185577,115.50900945103648,35.85888686710786
344.5745503351902,118.39588743603318,37.029562228776655
340.46542874551363,121.30532106099203,38.229250193494416
336.30700567296515,124.23483011808203,39.458164208952915
332.10167386679336,127.18183375210643,40.71649238110024
327.8519478155851,130.14365565787875,42.00439652653616
323.56045747049654,133.11753131849812,43.32201121100537
319.22994228170467,136.1006148105492,44.669442907746145
314.86324534236684,139.08998542983645,46.04676922779675
310.4633050135255,142.0826567741945,47.45403821228003
306.03314694764305,145.07558533408329,48.89126771827375
301.57587668904443,148.06567844248602,50.3584448684696
297.09466991494736,151.04980445241412,51.855525632638546
292.59276271433674,154.0248027873806,53.38243449828273
288.07344281311185,156.9874930054007,54.93906418148748
283.54003922838905,159.93468526968314,56.52527550192781
278.99591130648633,162.8631913093229,58.14089738419079
274.44443893160775,165.76983419895643,59.78572686943586
269.8890122550323,168.65145848576967,61.459529259198064
265.33302021825983,171.50494130586299,63.16203847587718
260.77984039456913,174.327202213064,64.89295739236688
256.2328290624396,177.11521271307893,66.65195822448149
251.69531022818256,179.86600653603708,68.43868323578037
247.17056580671542,182.57668881732553,70.25274537595904
242.66182618967048,185.24444488688292,72.09372892344662
238.17226069419263,187.86654884039032,73.96119046541703
233.70496872551024,190.4403714527959,75.85465982169389
229.26297115296296,192.96338793613907,77.77364091089795
224.8492026839165,195.4331843515118,79.71761296457171
220.46650469415727,197.8474635920046,81.68603171383813
216.11761826007628,200.20405121679815,83.67833052312557
211.8051772316693,202.50090132631018,85.69392144202055
207.53170416416575,204.736099035952,87.73219679988226
203.29960546629113,206.9078640505674,89.79253048314149
199.11116592229578,209.01455488334784,91.87427919435639
194.96854556328861,211.05467057086514,93.97678386584624
190.8737782298959,213.02685060602948,96.09937116407463
186.828769092827,214.92987603070344,98.24135487646956
182.8352909562196,216.7626718009618,100.40203724281855
178.89498563327305,218.52430390816895,102.580710458558
175.009363939577,220.21397797802928,104.7766580823937
171.17980521551542,221.8310383597152,106.98915642476938
167.40755673323054,223.3749673405924,109.21747592617704
163.69373766929598,224.84537983396262,111.46088249674138
160.03934051715245,226.24202065421576,113.71863882863175
156.44523197500374,227.56476228413425,115.99000574086199
152.9121562521915,228.81360034600814,118.27424340180032
149.44073916142366,229.98864835061943,120.57061248795691
146.03149116913477,231.0901334695608,122.87837536130436
142.68480995553625,232.11839273624176,125.19679730822192
139.4009856203781,233.07386691088468,127.52514746873716
136.1802048270512,233.95709532966114,129.8626998432876
133.02255489880633,234.76871078421104,132.20873431698257
129.92802803718115,235.50943431377175,134.56253764904707
126.89652648196649,236.18006936300205,136.92340415503142
123.92786702388966,236.78149644028198,139.29063653582833
121.02178579977935,237.31466744723716,141.66354675298345
118.17794300641745,237.78060035043768,144.04145664314484
115.39592757784281,238.18037394146393,146.42369848069322
112.67526193242297,238.5151224749001,148.80961559267686
110.01540710035206,238.7860298800726,151.19856301957526
107.41576675299586,238.99432540986786,153.5899078371362
104.8756916844689,239.14127872464164,155.98302959088937
102.39448454885571,239.22819472012057,158.37732073102364
99.97140441061791,239.25640860201597,160.772186987366
97.60567012441695,239.22728233367604,163.16704754190692
95.29646447828105,239.14220022297704,165.56133529874182
93.04293876307493,239.0025640797848,167.95449715714017
90.84421596826391,238.80978990724137,170.34599412449464
88.6993940223279,238.56530456362088,172.73530141405112
86.60754935364153,238.2705420958263,175.12190855053208
84.56774077848434,237.92693975163817,177.5053194698774
82.57901166301048,237.53593585025627,179.88505248673317
80.64039286878787,237.09896683540347,182.26064029580857
78.75090581918843,236.61746422909962,184.6316299517119
76.90956517021282,236.09285201551847,186.99758281426867
75.11538061472365,235.52654493941304,189.35807444586325
73.36735924501113,234.91994624262927,191.71269451235955
71.66450806463469,234.27444527669542,194.06104665866982
70.0058355496152,233.59141608681998,196.40274836356477
68.39035330383614,232.87221591674327,198.73743077942055
66.8170778008578,232.11818364514684,201.0647385539953
65.28503215910212,231.33063821175168,203.38432962914615
63.793247128984035,230.5108778173662,205.6958750536497
62.340762397350076,229.66017883366996,207.9990587689799
60.92662784504788,228.77979478296658,210.29357737198546
59.54990457050374,227.8709555470061,212.5791398824901
58.209665652753756,226.93486682548365,214.85546752176253
56.90499700913378,225.97270952782677,217.12229346303937
55.63499819940561,224.98563924453094,219.37936255606337
54.39878297894582,223.9747859263984,221.62643109465571
53.19547983604898,222.9412536004315,223.86326656351943
52.024232473458355,221.8861201571894,226.08964736935218
50.88420021639,220.81043722561049,228.30536255799944
49.774558324263865,219.7152300928832,230.51021158285286
48.694498264877836,218.601497698344,232.70400403677812
47.643227897950204,217.47021273158293,234.8865593704668
46.61997163344167,216.3223217328537,237.05770663370458
45.6239705597405,215.15874520873592,239.2172842315235
44.654482492164625,213.98037784942335,241.36513965841198
43.71078190948904,212.78808887838557,243.50112921212533
42.792160030285864,211.58272219412203,245.62511777559203
41.897924763822736,210.36509666847047,247.73697856770673
41.02740063791889,209.13600646229048,249.83659289979056
40.17992855787615,207.89622154974077,251.923849892383
39.35486559059991,206.6464881983023,253.9986462110977
38.55158505534193,205.3875290367162,256.0608859079418
37.769476258026856,204.120043580075,258.11048016189807
37.00794429273048,202.84470865553072,260.1473470517387
36.266409574195016,201.56217914594563,262.1714112798592
35.544307849300985,200.2730881461792,264.18260400451976
34.841089965975804,198.97804740612514,266.180862627899
34.156221603474485,197.67764781390508,268.1661305826203
33.48918290716595,196.37245998525503,270.13835710757894
32.839468092241276,195.0630348838095,272.09749702394913
32.20658544731407,193.74990396082285,274.04351059186297
31.59005696295675,192.43357973482193,275.9763633022212
30.989418052772084,191.1145562557505,277.89602569147735
30.404217061388387,189.7933098097061,279.80247312890543
29.834015145834613,188.47029918814295,281.69568566602237
29.278386017572174,187.14596611309517,283.57564786933256
28.736915627122205,185.8207357241146,285.44234864876313
28.209201819589993,184.49501709243486,287.2957810879751
27.694853933139527,183.16920379504325,289.13594227181716
27.193492712939314,181.8436741292039,290.9628331578567
